============================================================
A股回测报告
回测日期: 2026-03-02
============================================================


────────────────────────────────────────────────────────────
策略: 少妇战法
────────────────────────────────────────────────────────────

股票代码      股票名称    买入日       买入价       卖出日       卖出价       收益率       收益金额        
002493    荣盛石化    03-11     13.62     03-20     11.31     -16.96    -16863.00   
002785    万里石     03-11     45.23     03-20     39.80     -12.01    -11946.00   
002806    华锋股份    03-11     15.62     03-20     14.18     -9.22     -9216.00    
603612    索通发展    03-11     31.39     03-20     26.83     -14.53    -14136.00   
600150    中国船舶    03-11     37.01     03-23     31.13     -15.89    -15876.00   
600136    ST明诚    03-11     1.83      03-20     1.73      -5.46     -5460.00    
603565    中谷物流    03-11     10.87     03-20     11.17     +2.76     +2730.00    
002457    青龙管业    03-11     13.52     03-20     11.31     -16.35    -16133.00   
603867    新化股份    03-11     34.48     03-20     30.27     -12.21    -12209.00   
002283    天润工业    03-11     9.74      03-23     8.48      -12.94    -12852.00   
300991    创益通     03-11     57.65     03-20     53.74     -6.78     -6647.00    
300107    建新股份    03-11     8.48      03-20     7.09      -16.39    -16263.00   
600428    中远海特    03-11     7.94      03-20     7.99      +0.63     +625.00     
688200    华峰测控    03-11     262.96    03-20     270.00    +2.68     +2112.00    
002054    德美化工    03-11     9.79      03-20     8.52      -12.97    -12954.00   
000959    首钢股份    03-11     5.38      03-20     4.80      -10.78    -10730.00   
600309    万华化学    03-11     88.21     03-23     75.01     -14.96    -14520.00   
002658    雪迪龙     03-11     10.84     03-20     9.36      -13.65    -13616.00   
300881    盛德鑫泰    03-11     50.59     03-20     43.88     -13.26    -12749.00   
300828    锐新科技    03-11     21.92     03-20     19.90     -9.22     -9090.00    
002911    佛燃能源    03-11     14.84     03-20     14.74     -0.67     -670.00     
000612    焦作万方    03-11     14.41     03-20     11.53     -19.99    -19872.00   
000779    甘咨询     03-11     9.80      03-23     8.38      -14.49    -14484.00   
603282    亚光股份    03-11     22.52     03-20     20.30     -9.86     -9768.00    
300320    海达股份    03-11     11.26     03-20     10.67     -5.24     -5192.00    
603968    醋化股份    03-11     14.43     03-20     13.80     -4.37     -4347.00    
600273    嘉化能源    03-12     10.79     03-23     8.64      -19.93    -19780.00   
600968    海油发展    03-12     4.89      03-23     4.48      -8.38     -8364.00    
003017    大洋生物    03-12     33.45     03-23     29.23     -12.62    -12238.00   
601619    嘉泽新能    03-12     6.62      03-23     5.43      -17.98    -17969.00   
000637    茂化实华    03-12     5.10      03-23     4.32      -15.29    -15288.00   
600028    中国石化    03-12     6.56      03-23     6.04      -7.93     -7904.00    
603565    中谷物流    03-12     10.93     03-23     10.68     -2.29     -2275.00    
601975    招商南油    03-12     4.34      03-23     4.39      +1.15     +1150.00    
688377    迪威尔     03-12     45.45     03-23     36.06     -20.66    -20658.00   
603790    雅运股份    03-12     24.54     03-24     19.94     -18.74    -18400.00   
600339    中油工程    03-12     4.50      03-23     4.03      -10.44    -10434.00   
603867    新化股份    03-12     35.01     03-23     27.86     -20.42    -20020.00   
600583    海油工程    03-12     7.25      03-23     6.44      -11.17    -11097.00   
603727    博迈科     03-12     18.50     03-23     19.75     +6.76     +6750.00    
002054    德美化工    03-12     9.69      03-23     8.12      -16.20    -16171.00   
000959    首钢股份    03-12     5.40      03-23     4.70      -12.96    -12950.00   
300370    安控科技    03-12     2.88      03-23     2.59      -10.07    -10063.00   
000778    新兴铸管    03-12     4.96      03-23     4.24      -14.52    -14472.00   
601808    中海油服    03-12     18.46     03-23     16.33     -11.54    -11502.00   
300881    盛德鑫泰    03-12     50.00     03-23     40.42     -19.16    -19160.00   
000612    焦作万方    03-12     14.62     03-23     10.78     -26.27    -26112.00   
002828    贝肯能源    03-12     14.10     03-23     12.45     -11.70    -11550.00   
600388    龙净环保    03-13     19.72     03-24     18.52     -6.09     -6000.00    
000554    泰山石油    03-13     9.73      03-24     8.49      -12.74    -12648.00   
601619    嘉泽新能    03-13     6.55      03-24     5.76      -12.06    -12008.00   
000637    茂化实华    03-13     5.00      03-24     4.52      -9.60     -9600.00    
600688    上海石化    03-13     3.35      03-24     2.92      -12.84    -12814.00   
601958    金钼股份    03-13     22.80     03-24     18.20     -20.18    -19780.00   
300304    云意电气    03-13     14.39     03-24     12.65     -12.09    -12006.00   
603685    晨丰科技    03-13     27.78     03-24     27.32     -1.66     -1610.00    
600339    中油工程    03-13     4.53      03-24     4.04      -10.82    -10780.00   
603867    新化股份    03-13     33.46     03-24     29.20     -12.73    -12354.00   
600583    海油工程    03-13     7.12      03-24     6.50      -8.71     -8680.00    
000778    新兴铸管    03-13     4.94      03-24     4.46      -9.72     -9696.00    
603303    得邦照明    03-13     14.75     03-24     13.59     -7.86     -7772.00    
600010    包钢股份    03-13     2.93      03-24     2.51      -14.33    -14322.00   
300254    仟源医药    03-13     11.95     03-24     11.09     -7.20     -7138.00    
600507    方大特钢    03-13     6.91      03-24     5.77      -16.50    -16416.00   
600388    龙净环保    03-16     19.12     03-25     18.63     -2.56     -2548.00    
002443    金洲管道    03-16     9.48      03-25     8.74      -7.81     -7770.00    
301203    国泰环保    03-16     43.08     03-25     40.69     -5.55     -5497.00    
002493    荣盛石化    03-16     13.58     03-25     11.95     -12.00    -11899.00   
601619    嘉泽新能    03-16     6.40      03-25     5.92      -7.50     -7488.00    
301285    鸿日达     03-16     78.54     03-25     79.42     +1.12     +1056.00    
002615    哈尔斯     03-16     8.73      03-25     7.65      -12.37    -12312.00   
603379    三美股份    03-16     68.58     03-25     62.89     -8.30     -7966.00    
300506    ST名家    03-16     5.10      03-25     4.78      -6.27     -6272.00    
600339    中油工程    03-16     4.44      03-25     4.07      -8.33     -8325.00    
603867    新化股份    03-16     34.50     03-25     30.21     -12.43    -12012.00   
600583    海油工程    03-16     7.33      03-25     6.52      -11.05    -11016.00   
603727    博迈科     03-16     17.68     03-25     20.34     +15.05    +14896.00   
002628    成都路桥    03-16     5.19      03-25     5.05      -2.70     -2688.00    
688184    ST帕瓦    03-16     10.60     03-25     9.88      -6.79     -6768.00    
000778    新兴铸管    03-16     4.97      03-25     4.50      -9.46     -9447.00    
603303    得邦照明    03-16     14.75     03-25     13.45     -8.81     -8710.00    
002318    久立特材    03-16     32.90     03-25     30.63     -6.90     -6810.00    
300881    盛德鑫泰    03-16     46.55     03-25     43.78     -5.95     -5817.00    
300254    仟源医药    03-16     12.01     03-25     10.88     -9.41     -9379.00    
600507    方大特钢    03-16     6.82      03-25     5.71      -16.28    -16206.00   
001282    三联锻造    03-16     22.79     03-25     20.09     -11.85    -11610.00   
688646    ST逸飞    03-26     47.10     04-07     50.65     +7.54     +7455.00    
300569    天能重工    03-26     7.38      04-07     6.46      -12.47    -12420.00   
000895    双汇发展    03-26     27.59     04-07     27.52     -0.25     -252.00     
002648    卫星化学    03-26     25.82     04-07     28.60     +10.77    +10564.00   
300498    温氏股份    03-26     16.86     04-07     16.46     -2.37     -2360.00    
002986    宇新股份    03-26     14.89     04-07     15.59     +4.70     +4690.00    
605296    神农集团    03-26     29.42     04-07     28.59     -2.82     -2739.00    
001382    新亚电缆    03-26     23.01     04-07     20.11     -12.60    -12470.00   
601868    中国能建    03-26     3.32      04-07     2.84      -14.46    -14448.00   
000912    泸天化     03-26     5.19      04-07     5.27      +1.54     +1536.00    
000488    ST晨鸣    03-26     2.82      04-07     2.63      -6.74     -6726.00    
002531    天顺风能    03-26     11.18     04-07     11.06     -1.07     -1068.00    
002452    长高电新    03-26     10.82     04-07     9.90      -8.50     -8464.00    
300279    和晶科技    03-26     9.94      04-07     8.29      -16.60    -16500.00   
--------------------------------------------------------------------------------
有效交易: 461 | 盈利: 150 | 亏损: 311 | 胜率: 32.5%
策略收益: -1,349,791.00 元 | 平均收益率: -2.97%

跳过的股票:
  300241 瑞丰光电 (03-05) - 涨停无法买入
  002637 赞宇科技 (03-06) - 涨停无法买入
  603519 立霸股份 (03-06) - 涨停无法买入
  300614 百川畅银 (03-06) - 涨停无法买入
  002165 红宝丽 (03-06) - 涨停无法买入
  002999 天禾股份 (03-06) - 涨停无法买入
  301163 宏德股份 (03-06) - 涨停无法买入
  300527 ST应急 (03-06) - 涨停无法买入
  603285 键邦股份 (03-06) - 涨停无法买入
  603138 海量数据 (03-09) - 涨停无法买入
  605006 山东玻纤 (03-09) - 涨停无法买入
  600409 三友化工 (03-11) - 涨停无法买入
  301326 捷邦科技 (03-16) - 涨停无法买入
  001278 一彬科技 (03-16) - 涨停无法买入
  002724 海洋王 (03-16) - 涨停无法买入
  300072 海新能科 (03-26) - 涨停无法买入

────────────────────────────────────────────────────────────
策略: SuperB1战法
────────────────────────────────────────────────────────────

无有效交易

────────────────────────────────────────────────────────────
策略: 补票战法
────────────────────────────────────────────────────────────

股票代码      股票名称    买入日       买入价       卖出日       卖出价       收益率       收益金额        
--------------------------------------------------------------------------------
000586    汇源通信    03-06     15.49     03-17     14.99     -3.23     -3200.00    
000683    博源化工    03-09     9.99      03-18     8.85      -11.41    -11400.00   
601918    新集能源    03-12     8.05      03-23     7.57      -5.96     -5952.00    
002382    蓝帆医疗    03-26     7.75      04-07     8.66      +11.74    +11739.00   
--------------------------------------------------------------------------------
有效交易: 4 | 盈利: 1 | 亏损: 3 | 胜率: 25.0%
策略收益: -8,813.00 元 | 平均收益率: -2.21%

────────────────────────────────────────────────────────────
策略: 填坑战法
────────────────────────────────────────────────────────────

股票代码      股票名称    买入日       买入价       卖出日       卖出价       收益率       收益金额        
--------------------------------------------------------------------------------
000042    中洲控股    03-03     8.98      03-12     8.57      -4.57     -4551.00    
300436    广生堂     03-03     117.00    03-12     102.25    -12.61    -11800.00   
688069    德林海     03-04     25.07     03-13     25.87     +3.19     +3120.00    
301004    嘉益股份    03-04     58.16     03-13     51.11     -12.12    -11985.00   
301390    经纬股份    03-04     38.00     03-13     41.02     +7.95     +7852.00    
605033    美邦股份    03-05     23.21     03-16     23.54     +1.42     +1419.00    
300091    金通灵     03-05     2.92      03-16     2.89      -1.03     -1026.00    
301273    瑞晨环保    03-05     31.13     03-16     33.36     +7.16     +7136.00    
000782    恒申新材    03-05     6.08      03-16     6.01      -1.15     -1148.00    
688329    艾隆科技    03-05     24.99     03-16     25.77     +3.12     +3120.00    
603533    掌阅科技    03-05     28.00     03-16     26.43     -5.61     -5495.00    
688069    德林海     03-05     25.59     03-16     25.94     +1.37     +1365.00    
301548    崇德科技    03-05     82.07     03-16     77.27     -5.85     -5760.00    
301004    嘉益股份    03-05     57.39     03-16     50.85     -11.40    -11118.00   
003011    海象新材    03-05     26.45     03-16     25.45     -3.78     -3700.00    
603328    依顿电子    03-05     12.35     03-16     12.90     +4.45     +4400.00    
603466    风语筑     03-05     10.80     03-16     10.07     -6.76     -6716.00    
603135    中重科技    03-05     11.61     03-16     11.12     -4.22     -4214.00    
603922    金鸿顺     03-05     21.48     03-16     21.20     -1.30     -1288.00    
002334    英威腾     03-05     9.66      03-17     8.73      -9.63     -9579.00    
301025    读客文化    03-05     12.02     03-16     11.43     -4.91     -4897.00    
301390    经纬股份    03-05     39.50     03-16     40.83     +3.37     +3325.00    
300738    奥飞数据    03-05     23.88     03-16     23.39     -2.05     -2009.00    
001230    劲旅环境    03-06     26.53     03-17     24.13     -9.05     -8880.00    
600111    北方稀土    03-06     54.60     03-17     49.00     -10.26    -10080.00   
001358    兴欣新材    03-06     29.50     03-17     28.80     -2.37     -2310.00    
688329    艾隆科技    03-06     25.18     03-17     24.84     -1.35     -1326.00    
688355    明志科技    03-06     20.97     03-17     21.06     +0.43     +423.00     
301548    崇德科技    03-06     81.70     03-17     76.42     -6.46     -6336.00    
003011    海象新材    03-06     25.89     03-17     25.10     -3.05     -3002.00    
002812    恩捷股份    03-06     61.55     03-17     68.90     +11.94    +11760.00   
603328    依顿电子    03-06     12.09     03-17     12.30     +1.74     +1722.00    
002208    合肥城建    03-06     15.20     03-17     15.60     +2.63     +2600.00    
301025    读客文化    03-06     11.90     03-17     11.08     -6.89     -6888.00    
603188    亚邦股份    03-06     5.36      03-17     5.15      -3.92     -3906.00    
002624    完美世界    03-06     19.85     03-17     19.15     -3.53     -3500.00    
300738    奥飞数据    03-06     22.78     03-17     22.18     -2.63     -2580.00    
300320    海达股份    03-06     11.07     03-17     11.07     +0.00     +0.00       
301356    天振股份    03-09     23.68     03-18     22.87     -3.42     -3402.00    
603088    宁波精达    03-09     12.28     03-18     13.32     +8.47     +8424.00    
002812    恩捷股份    03-09     60.00     03-18     68.79     +14.65    +14064.00   
603328    依顿电子    03-09     12.00     03-18     12.82     +6.83     +6806.00    
301025    读客文化    03-09     11.45     03-18     11.27     -1.57     -1566.00    
002240    盛新锂能    03-09     37.77     03-18     38.03     +0.69     +676.00     
002624    完美世界    03-09     19.74     03-18     19.15     -2.99     -2950.00    
300320    海达股份    03-09     11.01     03-18     11.28     +2.45     +2430.00    
603088    宁波精达    03-10     12.60     03-19     13.09     +3.89     +3871.00    
600984    建设机械    03-10     4.75      03-19     3.93      -17.26    -17220.00   
603466    风语筑     03-10     10.97     03-19     9.74      -11.21    -11193.00   
301025    读客文化    03-10     11.81     03-19     11.25     -4.74     -4704.00    
002624    完美世界    03-10     20.34     03-19     18.56     -8.75     -8722.00    
300320    海达股份    03-10     11.14     03-19     10.81     -2.96     -2937.00    
600984    建设机械    03-11     4.72      03-20     3.89      -17.58    -17513.00   
603466    风语筑     03-11     10.80     03-20     9.41      -12.87    -12788.00   
002167    东方锆业    03-12     14.54     03-23     11.73     -19.33    -19108.00   
000637    茂化实华    03-12     5.10      03-23     4.32      -15.29    -15288.00   
600160    巨化股份    03-12     40.90     03-23     34.10     -16.63    -16320.00   
000637    茂化实华    03-13     5.00      03-24     4.52      -9.60     -9600.00    
601958    金钼股份    03-13     22.80     03-24     18.20     -20.18    -19780.00   
603867    新化股份    03-13     33.46     03-24     29.20     -12.73    -12354.00   
301063    海锅股份    03-13     27.37     03-24     23.85     -12.86    -12672.00   
002056    横店东磁    03-26     21.83     04-07     17.94     -17.82    -17505.00   
600370    三房巷     03-26     2.63      04-07     2.52      -4.18     -4180.00    
002470    金正大     03-26     2.93      04-07     3.00      +2.39     +2387.00    
--------------------------------------------------------------------------------
有效交易: 64 | 盈利: 19 | 亏损: 45 | 胜率: 29.7%
策略收益: -256,996.00 元 | 平均收益率: -4.06%

跳过的股票:
  000609 ST中迪 (03-06) - 涨停无法买入

────────────────────────────────────────────────────────────
策略: 上穿60放量战法
────────────────────────────────────────────────────────────

股票代码      股票名称    买入日       买入价       卖出日       卖出价       收益率       收益金额        
--------------------------------------------------------------------------------
301035    润丰股份    03-03     81.10     03-12     83.25     +2.65     +2580.00    
301081    严牌股份    03-03     13.17     03-12     12.77     -3.04     -3000.00    
601107    四川成渝    03-03     6.33      03-12     6.29      -0.63     -628.00     
002948    青岛银行    03-03     5.35      03-12     5.35      +0.00     +0.00       
603939    益丰药房    03-03     23.93     03-12     24.48     +2.30     +2255.00    
000517    荣安地产    03-03     2.14      03-12     2.07      -3.27     -3269.00    
688429    时创能源    03-03     15.81     03-12     16.02     +1.33     +1323.00    
000031    大悦城     03-03     3.45      03-12     3.23      -6.38     -6358.00    
603317    天味食品    03-03     13.23     03-12     12.15     -8.16     -8100.00    
603806    福斯特     03-03     18.23     03-12     17.81     -2.30     -2268.00    
301222    浙江恒威    03-04     31.85     03-13     33.11     +3.96     +3906.00    
601222    林洋能源    03-04     6.08      03-13     6.71      +10.36    +10332.00   
002129    TCL中    03-04     9.73      03-13     10.16     +4.42     +4386.00    
601107    四川成渝    03-04     6.36      03-13     6.36      +0.00     +0.00       
688223    晶科能源    03-04     7.02      03-13     7.89      +12.39    +12354.00   
002948    青岛银行    03-04     5.29      03-13     5.35      +1.13     +1134.00    
688429    时创能源    03-04     15.30     03-13     15.55     +1.63     +1625.00    
000031    大悦城     03-04     3.40      03-13     3.22      -5.29     -5292.00    
603317    天味食品    03-04     13.20     03-13     12.35     -6.44     -6375.00    
605033    美邦股份    03-05     23.21     03-16     23.54     +1.42     +1419.00    
002012    凯恩股份    03-05     7.15      03-16     7.15      +0.00     +0.00       
601222    林洋能源    03-05     6.20      03-16     6.54      +5.48     +5474.00    
002623    亚玛顿     03-05     25.97     03-16     24.48     -5.74     -5662.00    
002510    天汽模     03-05     7.81      03-16     7.80      -0.13     -128.00     
603985    恒润股份    03-05     17.01     03-16     18.02     +5.94     +5858.00    
300345    华民股份    03-05     7.60      03-16     7.49      -1.45     -1441.00    
002948    青岛银行    03-05     5.30      03-16     5.25      -0.94     -940.00     
688337    普源精电    03-05     44.45     03-16     43.55     -2.02     -1980.00    
000839    国安股份    03-05     3.21      03-16     3.69      +14.95    +14928.00   
000517    荣安地产    03-05     2.08      03-16     2.08      +0.00     +0.00       
603328    依顿电子    03-05     12.35     03-16     12.90     +4.45     +4400.00    
603466    风语筑     03-05     10.80     03-16     10.07     -6.76     -6716.00    
301182    凯旺科技    03-05     50.10     03-16     61.66     +23.07    +21964.00   
300066    三川智慧    03-05     7.59      03-16     7.17      -5.53     -5502.00    
002724    海洋王     03-05     7.59      03-16     8.21      +8.17     +8122.00    
300145    南方泵业    03-05     4.78      03-16     5.21      +9.00     +8987.00    
000779    甘咨询     03-05     9.79      03-16     9.26      -5.41     -5406.00    
603381    永臻股份    03-05     26.29     03-16     26.93     +2.43     +2432.00    
000761    本钢板材    03-06     3.60      03-17     3.52      -2.22     -2216.00    
300037    新宙邦     03-06     54.82     03-17     57.43     +4.76     +4698.00    
002623    亚玛顿     03-06     25.11     03-17     24.26     -3.39     -3315.00    
002510    天汽模     03-06     7.81      03-17     7.65      -2.05     -2048.00    
300931    通用电梯    03-06     12.58     03-17     12.74     +1.27     +1264.00    
002129    TCL中    03-06     9.70      03-17     9.83      +1.34     +1339.00    
603887    城地香江    03-06     15.41     03-18     17.65     +14.54    +14336.00   
002951    金时科技    03-06     15.10     03-17     15.95     +5.63     +5610.00    
688223    晶科能源    03-06     7.04      03-17     7.40      +5.11     +5112.00    
000995    皇台酒业    03-06     14.96     03-17     16.56     +10.70    +10560.00   
688350    富淼科技    03-06     31.41     03-17     28.24     -10.09    -9827.00    
002880    卫光生物    03-06     28.80     03-17     29.65     +2.95     +2890.00    
603328    依顿电子    03-06     12.09     03-17     12.30     +1.74     +1722.00    
603980    吉华集团    03-06     7.39      03-17     7.05      -4.60     -4590.00    
601799    星宇股份    03-06     141.00    03-17     131.45    -6.77     -6685.00    
300066    三川智慧    03-06     7.54      03-17     6.87      -8.89     -8844.00    
000779    甘咨询     03-06     9.50      03-17     9.23      -2.84     -2835.00    
605018    长华集团    03-06     11.86     03-17     11.20     -5.56     -5544.00    
301210    金杨股份    03-06     39.40     03-17     38.85     -1.40     -1375.00    
603381    永臻股份    03-06     25.51     03-17     26.41     +3.53     +3510.00    
605033    美邦股份    03-09     23.26     03-18     23.36     +0.43     +420.00     
300037    新宙邦     03-09     54.39     03-18     56.04     +3.03     +2970.00    
603080    新疆火炬    03-09     25.34     03-18     22.37     -11.72    -11583.00   
002623    亚玛顿     03-09     24.45     03-18     24.16     -1.19     -1160.00    
002951    金时科技    03-09     15.00     03-18     15.54     +3.60     +3564.00    
688350    富淼科技    03-09     30.24     03-18     28.66     -5.22     -5214.00    
002880    卫光生物    03-09     29.29     03-18     29.28     -0.03     -34.00      
603328    依顿电子    03-09     12.00     03-18     12.82     +6.83     +6806.00    
300570    太辰光     03-09     123.46    03-18     117.50    -4.83     -4768.00    
601799    星宇股份    03-09     143.07    03-18     132.16    -7.63     -6546.00    
002192    融捷股份    03-09     53.13     03-18     55.70     +4.84     +4626.00    
002099    海翔药业    03-10     7.60      03-19     6.90      -9.21     -9170.00    
600917    重庆燃气    03-10     5.65      03-19     5.68      +0.53     +528.00     
300037    新宙邦     03-10     56.01     03-19     54.40     -2.87     -2737.00    
603689    皖天然气    03-10     8.49      03-19     8.59      +1.18     +1170.00    
603466    风语筑     03-10     10.97     03-19     9.74      -11.21    -11193.00   
603209    兴通股份    03-10     15.84     03-19     15.11     -4.61     -4599.00    
000779    甘咨询     03-10     9.82      03-19     9.56      -2.65     -2626.00    
002099    海翔药业    03-11     7.49      03-20     6.73      -10.15    -10108.00   
601890    亚星锚链    03-11     12.21     03-20     10.62     -13.02    -12879.00   
002868    *ST绿    03-11     40.46     03-20     38.39     -5.12     -4968.00    
601083    锦江航运    03-11     12.13     03-23     11.40     -6.02     -5986.00    
603053    成都燃气    03-11     10.19     03-20     10.25     +0.59     +588.00     
000519    中兵红箭    03-11     19.70     03-23     15.69     -20.36    -20050.00   
603689    皖天然气    03-11     8.56      03-20     8.45      -1.29     -1276.00    
300991    创益通     03-11     57.65     03-20     53.74     -6.78     -6647.00    
603466    风语筑     03-11     10.80     03-20     9.41      -12.87    -12788.00   
601866    中远海发    03-11     2.80      03-23     2.59      -7.50     -7497.00    
603616    韩建河山    03-11     7.36      03-20     6.59      -10.46    -10395.00   
000779    甘咨询     03-11     9.80      03-23     8.38      -14.49    -14484.00   
603155    新亚强     03-11     19.55     03-20     15.82     -19.08    -19023.00   
002868    *ST绿    03-12     41.00     03-23     37.00     -9.76     -9600.00    
601083    锦江航运    03-12     12.10     03-23     11.40     -5.79     -5740.00    
603053    成都燃气    03-12     10.29     03-23     9.82      -4.57     -4559.00    
000096    广聚能源    03-12     11.40     03-23     10.26     -10.00    -9918.00    
002389    航天彩虹    03-12     25.32     03-23     20.95     -17.26    -17043.00   
000519    中兵红箭    03-12     19.46     03-23     15.69     -19.37    -19227.00   
002040    南京港     03-12     11.12     03-23     9.70      -12.77    -12638.00   
603689    皖天然气    03-12     8.61      03-23     8.05      -6.50     -6496.00    
002267    陕天然气    03-12     8.09      03-23     7.72      -4.57     -4551.00    
603466    风语筑     03-12     10.64     03-23     8.85      -16.82    -16647.00   
002581    ST未名    03-12     8.24      03-23     7.26      -11.89    -11858.00   
601799    星宇股份    03-12     141.18    03-23     120.10    -14.93    -14756.00   
601866    中远海发    03-12     2.83      03-23     2.59      -8.48     -8472.00    
000407    胜利股份    03-12     5.18      03-24     4.80      -7.34     -7334.00    
000779    甘咨询     03-12     9.60      03-23     8.38      -12.71    -12688.00   
600917    重庆燃气    03-13     5.76      03-24     5.46      -5.21     -5190.00    
002868    *ST绿    03-13     40.15     03-24     37.38     -6.90     -6648.00    
600359    新农开发    03-13     7.74      03-24     6.64      -14.21    -14190.00   
601083    锦江航运    03-13     12.05     03-24     11.85     -1.66     -1640.00    
603053    成都燃气    03-13     10.34     03-24     10.06     -2.71     -2688.00    
002040    南京港     03-13     10.99     03-24     10.18     -7.37     -7290.00    
603689    皖天然气    03-13     8.68      03-24     8.27      -4.72     -4715.00    
601866    中远海发    03-13     2.88      03-24     2.71      -5.90     -5899.00    
300254    仟源医药    03-13     11.95     03-24     11.09     -7.20     -7138.00    
688297    中无人机    03-13     54.56     03-24     50.93     -6.65     -6534.00    
000407    胜利股份    03-13     5.22      03-24     4.80      -8.05     -8022.00    
000779    甘咨询     03-13     9.49      03-24     8.75      -7.80     -7770.00    
300323    华灿光电    03-26     10.34     04-07     9.24      -10.64    -10560.00   
600227    赤天化     03-26     4.08      04-07     3.82      -6.37     -6370.00    
000545    金浦钛业    03-26     3.42      04-07     3.03      -11.40    -11388.00   
603606    东方电缆    03-26     63.80     04-07     58.51     -8.29     -7935.00    
000833    粤桂股份    03-26     24.47     04-07     24.90     +1.76     +1720.00    
605296    神农集团    03-26     29.42     04-07     28.59     -2.82     -2739.00    
600370    三房巷     03-26     2.63      04-07     2.52      -4.18     -4180.00    
601952    苏垦农发    03-26     9.94      04-07     10.22     +2.82     +2800.00    
001382    新亚电缆    03-26     23.01     04-07     20.11     -12.60    -12470.00   
605268    王力安防    03-26     12.18     04-07     12.17     -0.08     -82.00      
300981    中红医疗    03-26     13.80     04-07     15.47     +12.10    +12024.00   
601868    中国能建    03-26     3.32      04-07     2.84      -14.46    -14448.00   
--------------------------------------------------------------------------------
有效交易: 128 | 盈利: 39 | 亏损: 89 | 胜率: 30.5%
策略收益: -403,762.00 元 | 平均收益率: -3.19%

跳过的股票:
  000517 荣安地产 (03-06) - 涨停无法买入
  002177 御银股份 (03-11) - 涨停无法买入
  601015 陕西黑猫 (03-12) - 涨停无法买入
  300072 海新能科 (03-26) - 涨停无法买入

────────────────────────────────────────────────────────────
策略: 暴力K战法
────────────────────────────────────────────────────────────

股票代码      股票名称    买入日       买入价       卖出日       卖出价       收益率       收益金额        
--------------------------------------------------------------------------------
688087    英科再生    03-03     37.75     03-12     43.58     +15.44    +15158.00   
603083    剑桥科技    03-03     115.00    03-12     122.60    +6.61     +6080.00    
002432    九安医疗    03-03     49.23     03-12     58.88     +19.60    +19300.00   
300135    宝利国际    03-03     4.46      03-12     4.63      +3.81     +3808.00    
300722    新余国科    03-03     35.00     03-12     31.31     -10.54    -10332.00   
003009    中天火箭    03-03     76.48     03-12     64.31     -15.91    -15821.00   
002109    兴化股份    03-03     4.84      03-12     4.71      -2.69     -2678.00    
600989    宝丰能源    03-03     27.04     03-12     33.73     +24.74    +24084.00   
603977    国泰集团    03-03     16.30     03-12     14.33     -12.09    -12017.00   
000159    国际实业    03-03     7.60      03-12     6.81      -10.39    -10349.00   
002389    航天彩虹    03-03     27.00     03-12     24.64     -8.74     -8732.00    
600435    北方导航    03-03     19.22     03-12     16.36     -14.88    -14872.00   
300965    恒宇信通    03-03     63.21     03-12     56.99     -9.84     -9330.00    
002221    东华能源    03-03     9.34      03-12     9.74      +4.28     +4280.00    
688016    心脉医疗    03-03     111.80    03-12     110.36    -1.29     -1152.00    
688070    纵横股份    03-03     66.00     03-12     57.10     -13.48    -13350.00   
000819    岳阳兴长    03-03     17.15     03-12     16.18     -5.66     -5626.00    
000912    泸天化     03-03     5.57      03-12     5.60      +0.54     +537.00     
002246    北化股份    03-03     22.80     03-12     25.39     +11.36    +11137.00   
300629    新劲刚     03-03     28.28     03-12     27.39     -3.15     -3115.00    
600506    统一股份    03-03     27.50     03-12     23.08     -16.07    -15912.00   
002594    比亚迪     03-03     96.39     03-12     99.10     +2.81     +2710.00    
603223    恒通股份    03-03     10.29     03-12     9.26      -10.01    -9991.00    
600333    长春燃气    03-04     6.50      03-13     5.78      -11.08    -11016.00   
002700    万憬能源    03-04     7.77      03-13     6.99      -10.04    -9984.00    
600917    重庆燃气    03-04     6.42      03-13     5.73      -10.75    -10695.00   
603080    新疆火炬    03-04     26.60     03-13     23.12     -13.08    -12876.00   
601083    锦江航运    03-04     13.80     03-13     12.08     -12.46    -12384.00   
603053    成都燃气    03-04     11.19     03-13     10.20     -8.85     -8811.00    
000520    凤凰航运    03-04     4.91      03-13     4.44      -9.57     -9541.00    
600403    大有能源    03-04     7.76      03-13     6.86      -11.60    -11520.00   
600635    大众公用    03-04     7.37      03-13     6.28      -14.79    -14715.00   
001872    招商港口    03-04     21.91     03-13     22.24     +1.51     +1485.00    
605368    蓝天燃气    03-04     9.75      03-13     8.54      -12.41    -12342.00   
605169    洪通燃气    03-04     16.00     03-13     13.27     -17.06    -16926.00   
603689    皖天然气    03-04     9.67      03-13     8.61      -10.96    -10918.00   
002267    陕天然气    03-04     9.14      03-13     8.13      -11.05    -11009.00   
601139    深圳燃气    03-04     7.95      03-13     7.65      -3.77     -3750.00    
000985    大庆华科    03-04     23.19     03-13     20.40     -12.03    -11997.00   
000421    南京公用    03-04     7.72      03-13     7.01      -9.20     -9159.00    
600681    百川能源    03-04     4.72      03-13     4.49      -4.87     -4853.00    
600903    贵州燃气    03-04     7.63      03-13     6.86      -10.09    -10087.00   
603706    东方环宇    03-04     23.73     03-16     20.37     -14.16    -14112.00   
002682    龙洲股份    03-04     7.67      03-13     6.01      -21.64    -21580.00   
600956    新天绿能    03-04     8.55      03-13     9.59      +12.16    +12064.00   
