strategy,code,signal_date,buy_date,sell_date,buy_price,sell_price,shares,buy_amount,sell_amount,total_cost,total_fee,profit,return_pct,sell_postpone_days
暴力K战法,000553,2026-03-12,2026-03-13,2026-03-24,6.8813759999999995,5.658868,14500,99779.95199999999,82053.586,99810.88378512,64.57375538000304,-17790.939755379994,-17.82464905699222,0
暴力K战法,000990,2026-03-12,2026-03-13,2026-03-24,10.001999999999999,9.538091999999999,9900,99019.79999999999,94427.1108,99050.49613799999,69.41125342799933,-4662.100453427993,-4.70679162165187,0
暴力K战法,002102,2026-03-12,2026-03-13,2026-03-24,3.780756,3.1193760000000004,26400,99811.95839999999,82351.52640000002,99842.90010710398,64.7058329279934,-17525.13783292797,-17.552713126449966,0
暴力K战法,002221,2026-03-12,2026-03-13,2026-03-24,9.941987999999998,9.138172,10000,99419.87999999999,91381.72000000002,99450.70016279999,68.28666799999516,-8106.446667999975,-8.151221313404317,0
暴力K战法,002869,2026-03-12,2026-03-13,2026-03-24,23.994798,23.205358,4100,98378.6718,95141.9678,98409.16918825799,69.50559505599432,-3306.2095950559888,-3.3596560384847556,0
暴力K战法,000777,2026-03-13,2026-03-16,2026-03-25,26.85537,23.075384,3600,96679.33200000001,83071.3824,96709.30259292001,64.02985970399904,-13671.979459704002,-14.137191659062706,0
暴力K战法,002084,2026-03-13,2026-03-16,2026-03-25,4.160832,3.889222,23500,97779.552,91396.717,97809.86366111999,67.78431508999482,-6450.619315089993,-6.595060123424089,0
暴力K战法,002543,2026-03-13,2026-03-16,2026-03-25,9.701939999999999,9.428114,10000,97019.39999999998,94281.14000000001,97049.47601399999,68.73128140000568,-2806.991281399969,-2.8923301770274814,0
暴力K战法,002669,2026-03-13,2026-03-16,2026-03-25,15.003,12.44751,6500,97519.5,80908.815,97549.731045,63.403659149993175,-16674.088659149988,-17.092910949655185,0
暴力K战法,002852,2026-03-13,2026-03-16,2026-03-25,11.872373999999999,9.618076,8200,97353.4668,78868.22320000001,97383.646374708,62.5155462200032,-18547.759146219993,-19.04607173452187,0
