strategy,code,signal_date,buy_date,sell_date,buy_price,sell_price,shares,buy_amount,sell_amount,total_cost,total_fee,profit,return_pct,sell_postpone_days
B1战法,000554,2026-03-12,2026-03-13,2026-03-24,9.731946,8.488302000000001,10200,99265.84920000001,86580.68040000001,99296.621613252,66.2704922159943,-12751.43929221599,-12.841765495185989,0
B1战法,000637,2026-03-12,2026-03-13,2026-03-24,5.0009999999999994,4.519095999999999,19900,99519.9,89930.01039999998,99550.751169,67.72247326400138,-9657.612073264012,-9.701194576491938,0
B1战法,000778,2026-03-12,2026-03-13,2026-03-24,4.940988,4.459108,20100,99313.8588,89628.07079999999,99344.646096228,67.53480525599437,-9753.322805256015,-9.817663244588616,0
B1战法,300254,2026-03-12,2026-03-13,2026-03-24,11.95239,11.087782,8300,99204.837,92028.59060000001,99235.59049947,68.48522161599632,-7244.731621615982,-7.300537624809795,0
B1战法,300304,2026-03-12,2026-03-13,2026-03-24,14.392878,12.64747,6900,99310.8582,87267.543,99341.644566042,66.5660586719971,-12109.881258672001,-12.190135679323683,0
B1战法,001282,2026-03-13,2026-03-16,2026-03-25,22.794558,20.085982,4300,98016.59939999999,86369.72260000001,98046.98454581399,65.79673207999795,-11712.673532079978,-11.945980374956914,0
B1战法,002318,2026-03-13,2026-03-16,2026-03-25,32.90658,30.623874,3000,98719.73999999999,91871.622,98750.34311939999,68.2704844199952,-6916.388484419978,-7.003913369756404,0
B1战法,002443,2026-03-13,2026-03-16,2026-03-25,9.481896,8.738252000000001,10400,98611.71840000001,90877.82080000002,98642.28803270402,67.82953923200593,-7801.727139231996,-7.909110073202479,0
B1战法,002493,2026-03-13,2026-03-16,2026-03-25,13.582716,11.94761,7200,97795.5552,86022.792,97825.871822112,65.58596683200454,-11838.349166832006,-12.10145020568693,0
B1战法,002615,2026-03-13,2026-03-16,2026-03-25,8.731746000000001,7.6484700000000005,11200,97795.55520000002,85662.864,97825.87182211202,65.43839635200456,-12198.129596352024,-12.469226564658968,0
