date,cash,equity,position_count
2026-03-16,1000000.0,1000000.0,0
2026-03-17,1000000.0,1000000.0,0
2026-03-18,1000000.0,1000000.0,0
2026-03-19,1000000.0,1000000.0,0
2026-03-20,1000000.0,1000000.0,0
