date,open,close,high,low,volume
2019-01-02,5.12,5.06,5.16,5.04,13170.6
2019-01-03,5.06,4.84,5.11,4.79,21335.88
2019-01-04,4.81,4.92,4.93,4.74,18196.7
2019-01-07,4.94,5.0,5.03,4.94,15235.78
2019-01-08,4.98,4.95,5.03,4.92,13886.2
2019-01-09,4.95,4.94,5.03,4.93,17768.8
2019-01-10,4.92,4.84,4.97,4.81,21275.4
2019-01-11,4.86,4.95,4.98,4.84,19631.43
2019-01-14,5.02,4.98,5.05,4.95,24443.28
2019-01-15,4.93,4.98,4.98,4.91,16739.8
2019-01-16,4.98,4.96,5.0,4.94,15874.69
2019-01-17,4.97,4.87,4.98,4.86,14531.6
2019-01-18,4.88,4.89,4.91,4.87,10653.4
2019-01-21,4.91,4.91,4.92,4.87,9525.31
2019-01-22,4.89,4.86,4.92,4.82,11907.6
2019-01-23,4.84,4.81,4.86,4.8,10414.88
2019-01-24,4.8,4.87,4.88,4.8,11621.48
2019-01-25,4.85,4.85,4.94,4.83,18824.0
2019-01-28,4.87,4.76,4.87,4.74,13537.6
2019-01-29,4.69,4.32,4.69,4.29,34387.8
2019-01-30,4.27,4.07,4.34,4.03,21281.8
2019-01-31,4.11,4.06,4.19,4.05,16367.01
2019-02-01,4.1,4.17,4.17,4.04,12448.11
2019-02-11,4.19,4.28,4.29,4.19,12349.94
2019-02-12,4.28,4.32,4.35,4.27,16143.3
2019-02-13,4.34,4.38,4.4,4.31,21195.8
2019-02-14,4.37,4.4,4.43,4.35,20360.43
2019-02-15,4.41,4.37,4.47,4.37,17339.7
2019-02-18,4.38,4.51,4.54,4.38,27266.68
2019-02-19,4.54,4.5,4.56,4.43,30255.25
2019-02-20,4.55,4.48,4.55,4.44,23888.1
2019-02-21,4.5,4.47,4.54,4.45,32318.0
2019-02-22,4.43,4.5,4.51,4.41,30347.49
2019-02-25,4.52,4.73,4.82,4.52,61687.54
2019-02-26,4.74,4.85,4.96,4.63,76799.8
2019-02-27,4.85,5.03,5.26,4.77,91361.07
2019-02-28,4.98,4.97,5.08,4.93,39824.72
2019-03-01,4.97,4.96,5.05,4.9,27949.62
2019-03-04,4.96,4.99,5.08,4.95,54859.24
2019-03-05,4.97,5.1,5.11,4.89,60749.0
2019-03-06,5.16,5.11,5.16,5.02,53350.02
2019-03-07,5.09,5.27,5.36,5.02,84587.24
2019-03-08,5.12,4.86,5.17,4.85,55941.2
2019-03-11,4.87,5.02,5.04,4.87,29706.62
2019-03-12,5.07,5.12,5.2,5.02,53954.91
2019-03-13,5.13,5.2,5.25,5.03,57774.53
2019-03-14,5.16,4.99,5.25,4.92,40899.15
2019-03-15,4.99,5.09,5.09,4.99,30060.77
2019-03-18,5.12,5.19,5.2,5.0,40877.66
2019-03-19,5.15,5.36,5.45,5.1,66973.63
2019-03-20,5.3,5.25,5.37,5.18,56926.15
